gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Smp_000020,122.64559983561956,-0.035407831619459,0.2431188805613244,-0.14563999117513093,0.8842055961676656,0.9800445601193462
Smp_000030,756.7648603922697,-0.1116888494948728,0.14116575062304257,-0.7911894280441829,0.42883345977622533,0.8776000352263722
Smp_000040,166.82974114529972,0.12775589141321966,0.19853749791625058,0.6434849474486233,0.5199094788855186,0.9082682943000081
Smp_000050,30.394625433728294,0.4651305363970921,0.333551466044584,1.3944790646937844,0.16317298713887757,0.6996363270234635
Smp_000070,324.8091617090868,-0.17477709438765923,0.24627244447760804,-0.7096900132631386,0.47789638648421096,0.8896973657348616
Smp_000080,22.841661806096052,-0.11826392409052722,0.6054553665501055,-0.19533054065470917,0.8451341895434066,0.9729782655234358
Smp_000100,223.7024889875706,-0.8711353535024365,0.1928392704811012,-4.517416765418693,6.259862190959396e-6,0.0020166772034394794
Smp_000110,50.35155320631357,0.1306397517571168,0.24605173843894707,0.5309442338670268,0.5954574238665165,0.9262522405414895
Smp_000130,85.41614574009759,-0.04232392337633993,0.2052177898310531,-0.20623905661971792,0.8366041807976203,0.9708082534446845
Smp_000150,132.13192329547365,0.24492559952909665,0.19432744731104656,1.2603757365116885,0.20753385026254367,0.7386791511971749
Smp_000160,19.987619747305942,-0.49530530906924547,0.3349178434045786,-1.4788859979338869,0.13917078622650203,0.6652115799811558
Smp_000180,6.041916054366562,-0.5850182338935938,0.7028156636467358,-0.8323921394382128,0.4051876374842511,0.8688891733715068
Smp_000190,49.65457470621034,0.08150309173752047,0.31229755821502464,0.26097895930842846,0.7941087331624124,0.9652763336396372
Smp_000200,90.06618569542314,0.049600025425921304,0.26337237311671263,0.18832660707332888,0.8506206290809087,0.9739359406464038
Smp_000230,102.58939987652205,0.13389885782595587,0.26073661094383555,0.5135406851429798,0.6075731587456802,0.9307861309231463
Smp_000240,1042.1852555485625,-0.055754616671177995,0.15401791586259825,-0.36200085138742916,0.7173513942151937,0.9567196941918967
Smp_000260,418.38718598852654,0.3091296925608659,0.19552696764494928,1.5810079616342434,0.11387621733566605,0.6267138722686799
Smp_000300,5.41377341568637,-0.4494518041649105,0.6051530427594817,-0.7427076663374644,0.45765868730503795,0.8852024657912525
Smp_000310,179.01432906641637,0.6204822624550896,0.24681818577245768,2.5139244116603057,0.011939602110718093,0.23343583343342542
Smp_000320,68.56065758742015,-0.4710708261234276,0.4301370387283631,-1.0951645259754408,0.2734445638396263,0.7893127836844568
Smp_000340,224.18720931348946,-0.2351300331558644,0.2478638472870569,-0.9486257706778626,0.3428109792077988,0.833635152940704
Smp_000370,155.3227404008305,0.4386562238006918,0.2768266625391194,1.5845880587412842,0.1130599598228606,0.6267138722686799
Smp_000470,80.80220449598218,0.07020057412029843,0.21033589135017744,0.33375461348831376,0.738564734568198,0.9609338693478805
Smp_000480,342.6161829794501,-0.12246597119822168,0.19548591403990967,-0.6264695428296664,0.5310070080383853,0.9125001284944748
Smp_000510,12.997823215308296,0.10969481867424707,0.39800794923113336,0.2756096175620465,0.7828479219346529,0.9647105469832578
Smp_000580,11.983331813049123,-0.6008080053479307,0.5516766825580252,-1.0890581827060235,0.2761282289875324,0.7911550182374906
Smp_000590,100.59081845269945,0.2678873854348946,0.21955838747324913,1.2201191150920339,0.22241972327514056,0.7470975920563071
Smp_000600,211.56702325519433,0.13842749722367503,0.1795307084392228,0.7710519187893552,0.4406761582486692,0.8784921407675033
Smp_000620,1.6427734508443084,0.4584626969954771,1.1186767621864129,0.4098258875954735,0.6819336745772786,NA
Smp_000630,16.511257912167885,0.5718020580634289,0.41284427243987154,1.3850308608719009,0.16604303106566343,0.6996363270234635
Smp_000640,117.60029533543772,-0.005465117615136353,0.2679688864853494,-0.020394597622195015,0.9837285934283723,0.9966781166511687
Smp_000650,98.52640593737802,0.2960607083319071,0.23990077722027445,1.234096495069156,0.21716694942776357,0.7423833428081532
Smp_000660,277.89601787882356,-0.4473612238915381,0.2643816414169629,-1.6921039656683026,0.09062615247737885,0.5753382101915894
Smp_000670,94.33011582811227,0.3189779543174565,0.2090328596267631,1.5259703899521107,0.1270172388392535,0.652570192556528
Smp_000680,12.304878386813204,-0.7718020866231461,0.42673798878610375,-1.8086088112722505,0.07051179863093142,0.5272983981625636
Smp_000690,2.101468571729378,0.9014473829910634,1.078243488823845,0.8360332265714565,0.4031362110368574,NA
Smp_000700,51.82706500514503,0.2086884027181543,0.27356405407138185,0.7628502342040181,0.44555271841188526,0.8784921407675033
Smp_000710,68.89750781423417,0.4337246810659697,0.23491051448856734,1.8463400074289917,0.06484285214887715,0.5145330759726411
Smp_000720,276.39884395365095,0.10157277369733517,0.196943182406196,0.5157465846562841,0.6060314138393068,0.9306080342982912
Smp_000740,548.9665772392792,0.1388177702636509,0.16012333929812117,0.8669427634481,0.38597337121536324,0.8581477165502901
Smp_000755,16.766422418304337,0.1446409416611374,0.3725541523087516,0.38824138924444795,0.6978374064730226,0.9530306335092814
Smp_000790,31.59175581230616,-0.8879424133305647,0.29825880711344016,-2.977086986715009,0.0029100143235625685,0.1025028375249707
Smp_000810,78.69609265468378,-0.32677262534950496,0.23817441554915586,-1.3719887780392754,0.17006693128826791,0.7027818387169018
Smp_000820,32.37609804027565,0.13358484666976148,0.3733394862433167,0.3578106564991097,0.720485015137975,0.9572673029420178
Smp_000830,1.1344904175989705,-1.6922151064283486,1.3894204175729417,-1.2179287744916927,0.2232510404424717,NA
