gene_id,Int-01_S42_L005,Int-02_S43_L005,Int-03_S44_L005,Int-04_S45_L005,Liv-01_S38_L005,Liv-02_S39_L005,Liv-03_S40_L005,Liv-04_S41_L005
Smp_043990,277.6266322511513,390.50824303388697,410.77420462822624,422.0299411475779,321.92780631044695,461.08528819665713,403.0590002095257,381.3190348404122
Smp_044000,363.1294540576283,518.7348302987455,647.9707816793243,540.027038559753,533.2275004867197,950.1717072554595,571.0002502968281,488.6483435979408
Smp_044020,44.296642622632675,32.0566468162146,50.266824275729405,37.11199031511959,37.613558125619235,45.73518040817045,55.180696457256495,35.998650142276674
Smp_044060,52.022801219603494,52.456331153805714,74.61481728428583,78.03033861127709,51.99521270306188,38.26821217826507,50.382375026190715,51.99805020551075
Smp_044160,69.53542737273735,78.68449673070857,62.83353034466175,49.958448501122525,61.95174279513756,63.469229954195725,55.180696457256495,65.33088359153915
Smp_044250,149.37239954143578,145.71203098279366,137.4483476289476,135.60150307447543,141.60398353174298,131.60531505208232,179.93705366496684,131.99505052168115
Smp_044260,37.085561265459916,43.71360929483809,43.19805211195496,44.24891152956567,58.632899431112335,48.535293494384966,50.382375026190715,46.66491685109939
Smp_044280,749.4373839061692,556.6199583542717,611.8415017311438,547.6397545218289,445.8312919007221,532.9548574094964,405.45816092505856,595.311010686168
Smp_044400,37.085561265459916,26.228165576902857,36.914699077488784,32.829837586451944,34.29471476159401,42.001696293217755,50.382375026190715,39.99850015808519
Smp_044440,116.4074561943603,110.74114354692318,109.1732589738498,108.95699720721008,116.15951774088292,112.93789447731886,91.16810719024986,80.66364198547181
Smp_044470,25.238784750104667,46.62784991449397,25.133412137864703,22.838147886227443,23.231903548176586,29.867872919621515,26.3907678708618,31.998800126468154
Smp_044520,40.691101944046295,52.456331153805714,59.691853827428666,56.61957496793887,45.35752597501143,64.40260098293389,52.7815357417236,40.66514182738661
Smp_044530,194.1841194038665,233.13924957246985,268.613342223429,218.86558390967966,232.31903548176584,275.34445347776085,189.53369652709839,231.3246592475927
Smp_044550,1845.0066729566308,1678.6025969217828,1797.0389678573263,1522.067397667533,1702.566645744941,1470.9927412913596,1748.9881616234775,1499.9437559281948
Smp_044560,127.22407823011943,145.71203098279366,121.73996504278215,128.46458186002937,180.32382277870397,274.4110824490227,131.953839354309,203.9923508062345
Smp_044580,1361.8642220260558,1527.0620846996776,1116.8660018763626,913.0501207014679,1348.5566869155837,2042.2158108791211,1261.9585363703006,939.9647537150021
Smp_044610,3.0904634387883263,2.9142406196558732,0.785419129308272,1.9031789905189533,1.106281121341742,4.666855143690862,0,2.6665666772056795
Smp_044680,145.7668588628494,163.1974747007289,252.90495963726357,237.42157906723943,203.55572632688055,185.7408347188963,261.50851799308515,279.32285943729494
Smp_044690,41.20617918384435,61.199053012773334,32.98760343094742,47.103680015344096,35.400995882935746,36.40147012078872,19.193285724263127,44.66499184319513
Smp_044750,35.540329546065756,87.42721858967619,48.69598601711286,53.76480648216044,44.25124485366968,52.268777609337654,69.57566075045384,40.66514182738661
Smp_044800,7.726158596970816,0,3.9270956465413596,9.515894952594767,4.425124485366968,1.8667420574763447,0,3.9998500158085193
Smp_044810,144.22162714345524,81.59873735036444,138.23376675825585,123.70663438373197,161.51704371589435,92.403731845079065,160.7437679407037,171.99355067976634
